City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,blackmans bay,-43.0167,147.3167,284.11,67,18,4.42,AU,1696269141
84,codrington,-38.2667,141.9667,287.5,91,80,6.76,AU,1696269157
85,uliastay,47.7417,96.8444,274.69,79,5,1.11,MN,1696269157
86,bubaque,11.2833,-15.8333,302.68,71,100,2.98,GW,1696269157
87,bilibino,68.0546,166.4372,264.79,98,99,1.14,RU,1696269146
88,ivnya,51.0629,36.1343,287.12,45,99,2.39,RU,1696269157
89,mundri,-6.9558,111.71,298.56,69,92,3.24,ID,1696269157
90,blackwater,-23.5833,148.8833,290.2,100,9,3.68,AU,1696269157
91,lampang,18.3333,99.5,298.86,85,47,0.37,TH,1696269157
92,wagar,16.1525,36.2032,309.35,14,0,2.79,SD,1696269157
93,al qusiyah,27.4402,30.8184,300.3,34,100,4.61,EG,1696269157
94,okhotsk,59.3833,143.3,279.33,77,23,3.44,RU,1696269157
95,tsiombe,-25.3,45.4833,292.12,58,98,5.43,MG,1696269158
96,qamdo,31.1667,97.2333,278.61,68,16,2.11,CN,1696269158
97,flying fish cove,-10.4217,105.6791,296.97,83,75,5.14,CX,1696269158
98,papatowai,-46.5619,169.4708,276.03,79,43,3.04,NZ,1696269158
99,lihue,21.9789,-159.3672,296.13,85,0,3.6,US,1696268907
100,gafsa,34.425,8.7842,301.27,36,20,3.09,TN,1696269158
101,isafjordur,66.0755,-23.124,277.17,70,75,6.17,IS,1696269158
102,abashiri,44.0213,144.2697,284.16,84,34,5.77,JP,1696269158
103,caraballeda,10.6112,-66.8522,309.47,49,54,0.71,VE,1696269158
104,san clemente del tuyu,-36.3569,-56.7235,287.03,72,43,3.67,AR,1696269158
105,nyurba,63.2842,118.3319,272.06,75,98,2.24,RU,1696269158
106,cariamanga,-4.3333,-79.55,298.58,44,41,3.3,EC,1696269158
107,port elizabeth,-33.918,25.5701,295.43,87,0,3.09,ZA,1696268984
108,cox's bazar,21.4532,91.9798,298.0,93,44,4.67,BD,1696269158
109,lorengau,-2.0226,147.2712,299.8,81,97,3.31,PG,1696269158
110,myory,55.6217,27.6299,284.1,77,98,3.04,BY,1696269158
111,callao,-12.0667,-77.15,294.31,73,75,3.09,PE,1696269158
112,port alfred,-33.5906,26.891,291.58,85,0,0.89,ZA,1696269158
113,selogiri,-7.7833,110.8667,295.71,88,81,1.97,ID,1696269159
114,saint-pierre,-21.3393,55.4781,296.97,73,100,1.03,RE,1696269159
115,guajara mirim,-10.7828,-65.3394,309.24,41,40,3.6,BR,1696268872
116,naze,28.3667,129.4833,298.66,79,83,9.27,JP,1696269159
117,ilulissat,69.2167,-51.1,272.16,59,0,2.57,GL,1696269159
118,paita,-5.0892,-81.1144,297.13,66,25,6.81,PE,1696269159
119,georgetown,5.4112,100.3354,301.45,84,20,1.54,MY,1696269146
120,tomatlan,19.9333,-105.25,305.49,63,84,1.72,MX,1696269159
121,constantia,44.1833,28.65,289.65,44,6,5.06,RO,1696269159
122,bemidji,47.4736,-94.8803,302.07,48,0,5.66,US,1696269159
123,zheleznogorsk-ilimskiy,56.5768,104.1217,275.02,58,100,3.58,RU,1696269159
124,newman,37.3138,-121.0208,295.96,49,4,1.79,US,1696269159
125,alvaraes,-3.2208,-64.8042,308.08,24,98,2.37,BR,1696269159
126,sao felix do xingu,-6.6447,-51.995,314.3,17,68,2.38,BR,1696269159
127,gadzhiyevo,69.2551,33.3362,275.8,71,93,5.71,RU,1696269159
128,ottappalam,10.7667,76.3833,297.62,97,46,1.04,IN,1696269159
129,trondheim,63.4305,10.3951,284.22,91,100,1.38,NO,1696269159
130,khovd,48.0056,91.6419,279.24,65,13,0.41,MN,1696269160
131,mahonda,-6.45,39.4667,298.95,82,55,7.79,TZ,1696269160
132,keflavik,64.0049,-22.5624,281.1,76,75,11.32,IS,1696269160
133,kampene,-3.6,26.6667,298.45,65,97,0.49,CD,1696269160
134,invercargill,-46.4,168.35,274.83,90,12,1.34,NZ,1696269043
135,bhuban,20.8833,85.8333,299.21,86,92,0.38,IN,1696269160
136,bel ombre,-4.6167,55.4167,301.06,78,20,7.2,SC,1696269160
137,nadym,65.5333,72.5167,283.26,86,100,7.94,RU,1696269160
138,vadso,70.0744,29.7487,275.64,80,75,3.6,NO,1696269160
139,las amilpas,16.3667,-94.6167,307.33,51,98,1.05,MX,1696269160
140,kavieng,-2.5744,150.7967,300.3,80,61,2.28,PG,1696269160
141,kulhudhuffushi,6.6221,73.07,300.1,83,98,7.48,MV,1696269160
142,la passe,45.5549,-0.8967,301.28,83,11,4.02,FR,1696269160
143,carnarvon,-24.8667,113.6333,290.34,62,0,11.55,AU,1696269160
144,aitape,-3.1374,142.3475,298.16,91,93,2.06,PG,1696269160
145,lodja,-3.4833,23.4333,297.36,73,87,0.69,CD,1696269160
146,kapuskasing,49.4169,-82.4331,297.2,69,75,6.69,CA,1696269160
147,long beach,33.767,-118.1892,295.75,70,0,1.79,US,1696268938
148,saynshand,44.8824,110.1163,283.73,51,3,5.87,MN,1696269161
149,calingasta,-31.3308,-69.4078,300.52,7,69,12.0,AR,1696269161
150,moroto,2.5345,34.6666,297.57,52,89,3.96,UG,1696269161
151,anadyr,64.75,177.4833,271.43,100,0,5.0,RU,1696269161
152,uturoa,-16.7333,-151.4333,299.34,80,11,7.26,PF,1696269161
153,ko lanta,7.5336,99.0865,300.77,79,100,5.14,TH,1696269161
154,lebu,-37.6167,-73.65,284.44,84,88,2.97,CL,1696269161
155,kasongo-lunda,-6.4667,16.8167,295.64,88,35,3.95,CD,1696269161
156,zemetchino,53.4973,42.6163,285.06,81,100,2.2,RU,1696269161
157,winnemucca,40.973,-117.7357,282.18,71,100,3.09,US,1696269050
158,rajaori,33.3833,74.3,292.0,40,0,2.84,IN,1696269161
159,bua yai,15.5855,102.4259,298.12,91,61,2.16,TH,1696269161
160,baskil,38.5679,38.8238,287.06,54,67,0.8,TR,1696269161
161,kalmunai,7.4167,81.8167,298.58,88,71,7.22,LK,1696269161
162,bahia de kino,28.8333,-111.9333,302.44,47,31,3.24,MX,1696269161
163,conde,-7.2597,-34.9075,302.85,54,40,4.63,BR,1696269161
164,hawaiian paradise park,19.5933,-154.9731,297.06,92,20,3.09,US,1696269162
165,paysandu,-32.3214,-58.0756,294.6,42,14,3.99,UY,1696269162
166,shingu,33.7333,135.9833,289.34,67,66,2.77,JP,1696269162
167,puerto natales,-51.7236,-72.4875,283.4,53,75,7.2,CL,1696269162
168,pokhara,28.2333,83.9833,294.9,83,100,2.35,NP,1696269162
169,phan rang-thap cham,11.5667,108.9833,297.87,91,100,1.58,VN,1696269162
170,santa ana,33.7456,-117.8678,295.29,60,20,2.24,US,1696269162
171,kodiak,57.79,-152.4072,279.88,57,0,9.26,US,1696269162
172,puerto ayora,-0.7393,-90.3518,299.13,95,93,3.58,EC,1696269162
173,ribeira grande,38.5167,-28.7,295.37,60,20,5.36,PT,1696269141
174,east ballina,-28.8667,153.5833,288.04,85,0,4.16,AU,1696269162
175,gisborne,-38.6533,178.0042,281.99,78,70,7.18,NZ,1696269162
176,bikenibeu village,1.3673,173.1241,302.13,79,20,2.06,KI,1696269162
177,nehe,48.4833,124.8333,282.44,64,69,2.63,CN,1696269162
178,navia,43.5354,-6.7194,292.75,88,47,0.8,ES,1696269162
179,utrik,11.2278,169.8474,301.75,79,54,6.93,MH,1696269162
180,kristiansund,63.1115,7.732,284.51,71,40,3.6,NO,1696269162
181,radviliskis,55.8167,23.5333,286.18,88,40,3.09,LT,1696269162
182,sitka,57.0531,-135.33,284.09,87,100,3.09,US,1696268874
183,afua,-0.1567,-50.3867,305.83,51,83,3.67,BR,1696269163
184,faaa,-17.55,-149.6,299.13,78,75,2.06,PF,1696269163
185,wailua homesteads,22.0669,-159.378,295.79,89,0,3.6,US,1696269157
186,montepuez,-13.1256,38.9997,297.88,50,14,4.74,MZ,1696269163
187,zaysan,47.4667,84.8667,284.68,59,32,1.66,KZ,1696269163
188,si chiang mai,17.9564,102.5867,297.35,94,20,1.03,TH,1696269163
189,pare,-7.7679,112.198,295.22,85,95,2.81,ID,1696269163
190,olonkinbyen,70.9221,-8.7187,275.85,92,100,8.82,SJ,1696269163
191,riviere-du-loup,47.8304,-69.5342,292.3,63,53,2.06,CA,1696269163
192,horta,38.5333,-28.6333,294.95,71,20,5.36,PT,1696269163
193,prokuplje,43.2342,21.5881,289.75,56,2,1.79,RS,1696269163
194,mantua,45.1667,10.7833,299.68,71,8,1.13,IT,1696269163
195,robertsport,6.7533,-11.3686,300.11,81,71,4.36,LR,1696269163
196,fortuna,40.5982,-124.1573,289.22,84,0,1.54,US,1696269163
197,xichang,27.8964,102.2634,292.9,91,38,0.66,CN,1696269163
198,evinayong,1.4368,10.5512,294.71,99,43,1.25,GQ,1696269163
199,taroa,8.7058,171.2275,301.48,78,98,6.55,MH,1696269163
200,hithadhoo,-0.6,73.0833,301.15,74,35,5.86,MV,1696269164
201,basco,20.4487,121.9702,301.04,78,100,15.13,PH,1696269164
202,pisco,-13.7,-76.2167,294.18,73,0,4.63,PE,1696269164
203,kaufman,32.589,-96.3089,306.56,52,12,4.07,US,1696269164
204,umm ruwaba,12.9061,31.2158,307.26,30,30,5.59,SD,1696269164
205,ta`u,-14.2336,-169.5144,299.87,80,92,11.32,AS,1696269164
206,mhamid,29.82,-5.72,304.06,17,91,4.43,MA,1696269164
207,west island,-12.1568,96.8225,298.14,78,75,8.75,CC,1696269164
208,ancud,-41.8697,-73.8203,283.01,59,23,3.03,CL,1696269164
209,parabel',58.6978,81.4825,280.32,91,17,3.58,RU,1696269164
210,kerikeri,-35.2268,173.9474,283.66,92,53,0.45,NZ,1696269164
211,korsakov,46.6328,142.7813,285.58,84,83,5.81,RU,1696269164
212,laguna,38.421,-121.4238,296.09,62,0,0.45,US,1696269164
213,kruisfontein,-34.0033,24.7314,294.2,48,0,1.18,ZA,1696269164
214,laojunmiao,39.8333,97.7333,285.26,38,88,1.94,CN,1696269164
215,essex junction,44.4906,-73.111,297.25,64,40,2.06,US,1696269165
216,rapid city,44.0805,-103.231,294.76,70,75,3.58,US,1696269165
217,crane,31.3974,-102.3501,302.11,48,51,9.27,US,1696269165
218,necochea,-38.5473,-58.7368,290.56,56,92,5.79,AR,1696269165
219,zhezqazghan,47.7833,67.7667,284.18,66,53,4.65,KZ,1696269165
220,tucuma,-0.1833,-50.05,305.31,53,80,4.7,BR,1696269165
221,taoudenni,22.6783,-3.9836,312.66,12,78,1.33,ML,1696269165
222,barra de santo antonio,-9.4047,-35.5072,302.75,64,2,4.82,BR,1696269165
223,petropavlovsk-kamchatsky,53.0452,158.6483,281.18,93,100,6.71,RU,1696269155
224,kaspiyskiy,45.3929,47.3707,294.25,65,97,4.92,RU,1696269165
225,ust-nera,64.5667,143.2,271.6,81,31,0.89,RU,1696269165
226,masterton,-40.9597,175.6575,280.31,67,99,5.54,NZ,1696269165
227,recani,31.2846,-4.2688,303.35,18,54,1.6,MA,1696269165
228,tolanaro,-25.0319,46.9987,293.19,68,75,7.2,MG,1696269165
229,tura,25.5198,90.2201,296.45,97,66,1.97,IN,1696269165
230,perros-guirec,48.8145,-3.4396,292.42,81,0,6.17,FR,1696269165
231,mitu,1.1983,-70.1733,310.03,35,83,1.12,CO,1696269165
232,gazli,40.1333,63.45,292.58,28,0,3.41,UZ,1696269165
233,acarau,-2.8856,-40.12,303.79,60,77,8.52,BR,1696269166
234,tabuk,17.4189,121.4443,296.92,92,100,0.78,PH,1696269166
235,axim,4.8699,-2.2405,299.12,84,36,3.55,GH,1696269166
236,afaahiti,-17.75,-149.2833,298.08,87,79,8.14,PF,1696269147
237,ataq,14.5377,46.8319,297.38,65,0,4.83,YE,1696269166
238,bayana,26.9,77.2833,299.87,29,16,1.14,IN,1696269166
239,siwa oasis,29.2041,25.5195,301.35,30,86,3.1,EG,1696269166
240,lively,46.4334,-81.1498,297.05,62,17,5.21,CA,1696269166
241,paka,4.6374,103.4368,297.11,94,100,4.12,MY,1696269166
242,la ronge,55.1001,-105.2842,280.29,76,100,4.12,CA,1696269166
243,derzhavinsk,51.1,66.3167,284.5,60,7,3.27,KZ,1696269166
244,dudinka,69.4058,86.1778,271.3,96,100,10.28,RU,1696269103
245,rurrenabaque,-14.4413,-67.5278,308.98,52,40,4.12,BO,1696269166
246,hasaki,35.7333,140.8333,290.37,52,48,4.61,JP,1696269166
247,les sables-d'olonne,46.6667,-1.8333,294.59,90,67,4.1,FR,1696269167
248,pasni,25.2631,63.471,300.64,72,0,4.84,PK,1696269167
249,hotan,37.0997,79.9269,292.09,18,99,2.3,CN,1696269167
250,haapsalu,58.9431,23.5414,288.66,88,92,6.83,EE,1696269167
251,lubumbashi,-11.6609,27.4794,300.61,21,23,4.74,CD,1696269167
252,sona,45.4388,10.8255,298.42,64,0,1.54,IT,1696269167
253,kuqa,41.7278,82.9364,292.51,31,72,1.73,CN,1696269167
254,sant lluis,39.8526,4.2594,296.37,83,20,2.06,ES,1696269167
255,irymple,-34.25,142.1667,294.87,67,92,0.45,AU,1696269167
256,talnakh,69.4865,88.3972,270.49,93,100,8.23,RU,1696269167
257,lagunas,-5.2269,-75.6753,312.32,30,66,1.46,PE,1696269167
258,remire-montjoly,4.9167,-52.2667,306.17,55,40,6.69,GF,1696269167
259,saint-philippe,-21.3585,55.7679,296.92,82,51,2.32,RE,1696269167
260,tazovsky,67.4667,78.7,280.47,98,100,6.86,RU,1696269167
261,ugoofaaru,5.6667,73.0,299.89,83,100,5.57,MV,1696269167
262,nacogdoches,31.6002,-94.6335,304.16,46,0,3.09,US,1696269167
263,gwadar,25.1216,62.3254,301.35,70,0,4.07,PK,1696269167
264,buala,-8.145,159.5921,299.69,88,100,2.2,SB,1696269168
265,peace river,56.2501,-117.286,283.32,76,75,3.6,CA,1696269168
266,tregunc,47.85,-3.85,291.48,92,87,5.16,FR,1696269168
267,hirara,24.8,125.2833,302.07,94,100,7.72,JP,1696269168
268,pontes e lacerda,-15.2261,-59.3353,312.46,24,69,3.39,BR,1696269168
269,sinabang,2.4803,96.3801,299.91,77,94,5.26,ID,1696269168
270,colonia,50.9333,6.95,297.02,59,0,3.09,DE,1696268947
271,kindu,-2.95,25.95,299.33,65,91,1.8,CD,1696269168
272,palmer,42.1584,-72.3287,297.67,55,40,2.57,US,1696269132
273,brigantine,39.4101,-74.3646,299.37,71,0,4.12,US,1696269168
274,manadhoo,5.7667,73.3833,299.93,83,94,5.82,MV,1696269168
275,suntar,62.1444,117.6319,273.22,74,99,1.79,RU,1696269168
276,east wenatchee bench,47.4257,-120.2812,290.55,58,0,3.09,US,1696269168
277,daru,-9.0763,143.2092,297.82,86,57,4.77,PG,1696269162
278,ouadda,8.0777,22.4007,293.79,88,90,1.08,CF,1696269168
279,nar'yan-mar,67.6713,53.087,277.1,78,95,9.39,RU,1696269168
280,vila velha,-20.3297,-40.2925,301.12,85,20,3.13,BR,1696269168
281,mariana,-20.3778,-43.4161,301.96,52,96,1.34,BR,1696269169
282,buulobarde,3.8538,45.5674,300.26,63,64,9.39,SO,1696269169
283,rongelap,11.1635,166.8941,301.66,79,99,5.32,MH,1696269169
284,iskateley,67.6803,53.1512,277.05,78,95,9.39,RU,1696269169
285,skowhegan,44.7651,-69.7192,296.1,37,1,0.55,US,1696269169
286,vorkuta,67.5,64.0,277.01,91,100,7.76,RU,1696269079
287,choibalsan,48.0667,114.5,279.98,65,100,6.3,MN,1696269169
288,lusambo,-4.9667,23.45,298.15,66,91,1.05,CD,1696269169
289,alofi,-19.0595,-169.9187,295.09,68,100,7.2,NU,1696269169
290,birjand,32.8663,59.2211,291.41,13,0,3.09,IR,1696269169
291,kudahuvadhoo,2.6708,72.8944,301.39,77,97,5.78,MV,1696269169
292,datong,40.0936,113.2914,285.98,63,10,2.04,CN,1696269169
293,pullman,46.7313,-117.1796,289.73,65,20,4.02,US,1696269169
294,newport beach,33.6189,-117.9289,295.48,64,20,1.54,US,1696269169
295,cambria,35.5641,-121.0808,294.81,59,3,1.82,US,1696269169
296,sao miguel,-5.4667,-35.3667,303.58,59,40,7.36,BR,1696269169
297,vernon,50.2581,-119.2691,286.82,76,76,2.06,CA,1696269170
298,sinop,41.7711,34.8709,287.09,87,71,2.67,TR,1696268917
299,bowie,33.4501,-94.4335,304.09,52,5,3.81,US,1696268913
300,verdal,63.7933,11.4817,283.17,87,100,1.53,NO,1696269170
301,novodvinsk,64.4165,40.8122,279.14,75,26,0.83,RU,1696269170
302,kununurra,-15.7667,128.7333,298.14,78,69,4.12,AU,1696269170
303,kuta,-8.7233,115.1723,298.15,100,40,2.24,ID,1696269170
304,gebeit,21.0667,36.3167,303.1,44,29,1.99,SD,1696269170
305,haiku-pauwela,20.9219,-156.3051,299.84,79,0,0.0,US,1696269170
306,island harbour,50.724,-1.2758,292.19,93,100,2.68,GB,1696269170
307,kolonia town,6.964,158.206,302.02,72,16,1.63,FM,1696269170
308,gilgit,35.9221,74.3087,292.17,50,66,0.27,PK,1696269170
309,mar del plata,-38.0023,-57.5575,289.0,84,0,6.17,AR,1696269170
310,hereford,52.0568,-2.7148,290.4,95,100,2.33,GB,1696269170
311,mugia,43.1041,-9.2179,295.46,88,99,3.47,ES,1696269170
312,urangan,-25.3,152.9,293.13,73,1,3.07,AU,1696269170
313,tapa,59.2606,25.9586,285.18,78,93,3.29,EE,1696269170
314,shimoda,34.6667,138.95,292.1,75,63,4.62,JP,1696269171
315,aasiaat,68.7098,-52.8699,270.38,62,1,5.51,GL,1696269171
316,mount gambier,-37.8333,140.7667,285.72,96,100,3.26,AU,1696269171
317,klyuchi,52.2667,79.1667,279.2,49,2,3.25,RU,1696269171
318,ormara,25.2088,64.6357,300.75,77,1,4.98,PK,1696269171
